"Cities","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Adana","890328","341113","880246","617750","953800","847310","1077880","1247917","1459378","1567552","1330989"
"Adıyaman","8600","12500","17300","2500","14235","17387","131900","14944","15854","17732","52361"
"Afyonkarahisar","60200","54000","131225","113431","125671","159470","129382","116078","241278","239045","300257"
"Ağrı","0","0","0","0","0","0","16170","25094","32665","35000","45900"
"Aksaray","80578","33900","56000","46575","53640","23000","34919","64776","78082","104598","88086"
"Amasya","43000","17038","38180","42000","49740","39500","27382","22933","59010","36016","75701"
"Ankara","3647310","2845002","3094337","3484478","4428579","4424255","3802358","4929341","5582224","5988088","5463044"
"Antalya","954949","944761","1042985","962324","1356812","975199","1327489","1535748","1711212","2098651","1840716"
"Ardahan","0","0","0","0","3800","1800","0","0","0","0","0"
"Artvin","58568","12792","12200","7000","8000","6000","32453","46908","51904","32948","54030"
"Aydın","86634","176091","186141","246588","410223","369050","416012","453505","605322","665132","626748"
"Balıkesir","396013","345125","409961","247714","320747","261284","405257","449444","669881","725637","621690"
"Bartın","30000","45700","72000","65000","60000","110000","75000","60000","65000","65000","100000"
"Batman","25000","9415","159000","129500","181473","153250","133330","106300","136851","236050","65500"
"Bayburt","0","0","0","0","0","0","0","0","0","0","0"
"Bilecik","23142","9716","53931","29938","21955","15884","20628","30766","40460","33840","42369"
"Bingöl","13000","19000","28000","25000","38000","38000","39000","41515","41500","53000","55000"
"Bitlis","6814","322","450","15000","25872","26028","65000","25300","20400","20300","18500"
"Bolu","123000","84000","75000","84152","115000","115000","60978","0","126747","94909","200583"
"Burdur","51000","44000","42700","39250","176412","42056","39250","49900","48237","51670","52632"
"Bursa","1104555","1588443","1325103","1225606","1468834","1710913","1655260","2023446","2492089","2382054","2250978"
"Çanakkale","215020","161269","183122","119355","172120","157035","163216","228019","314137","227110","288581"
"Çankırı","2100","6000","600","4500","9000","10780","43600","50000","62000","99100","129410"
"Çorum","142516","108218","127760","82395","110690","111130","97907","130319","146332","166668","137000"
"Denizli","277048","312581","471853","514835","624545","637735","471838","591201","865481","820335","819609"
"Diyarbakır","358550","322185","62445","106301","323283","257050","419200","548880","596385","699109","660274"
"Düzce","53000","41000","11100","37708","34000","67972","36054","4000","198000","246000","200000"
"Edirne","23065","55681","128056","43820","181005","109476","189608","197060","207740","286207","277935"
"Elazığ","77653","47510","75900","92150","86800","190000","121980","162840","210936","267748","289270"
"Erzincan","6800","5845","10000","7000","8000","9100","9500","34367","17600","15000","94579"
"Erzurum","60653","152963","75500","280833","366944","375818","404209","401300","444705","374980","309039"
"Eskişehir","388490","359958","558093","805409","641666","603488","740794","879966","1017173","986535","805911"
"Gaziantep","185469","134200","163334","371664","426437","582915","567366","746993","1198320","1469931","1074158"
"Giresun","58000","81500","104368","80000","71920","73000","25000","12000","125500","41000","85139"
"Gümüşhane","0","0","0","0","0","0","0","0","0","0","0"
"Hakkari","750","2400","3160","5200","15300","3000","700","0","0","0","0"
"Hatay","244076","193342","338842","280356","306023","402452","481936","545898","621638","839395","745922"
"Iğdır","0","0","0","0","0","0","0","0","0","0","14000"
"Isparta","73000","122767","64399","33989","117093","175251","222631","207892","252583","229548","214719"
"İstanbul","6839127","5758346","11600494","11077376","12480944","13435241","14000678","16251695","19085549","19469337","18795438"
"İzmir","2205628","2219436","3513752","3369226","2882493","2719564","2677782","3319804","3662618","3448945","3621719"
"Kahramanmaraş","125781","124825","172995","135152","156881","184662","154582","258628","370430","249025","432713"
